Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
0.69916,0.69412,0.69696,0.00046,-0.00020,0.002,100,0,0,10,0,STRONGSELL
0.70012,0.69473,0.69683,0.00061,-0.00013,-0.00026,0,0.1,0,0,20,SELL
0.69805,0.69570,0.69672,0.00097,-0.00012,-0.00039,-60,0,0,0,10,SELL
0.69421,0.69626,0.69660,0.00056,-0.00011,-0.00035,-120,-0.1,-0.0005,-10,-10,STRONGBUY
0.69722,0.69650,0.69645,0.00024,-0.00015,-0.0025,80,-0.1,0,10,-20,SELL
0.69591,0.69679,0.69640,0.00029,-0.00005,0.001,-60.05,0,0,-10,0,BUY
0.69744,0.69696,0.69627,0.00017,-0.00012,-0.0005,60.05,0,0,10,10,SELL
0.6955,0.69714,0.69622,0.00018,-0.00006,0,-100,0,-0.0005,-10,0,STRONGSELL
0.69698,0.69718,0.69604,0.00004,-0.00017,0.0005,80,-0.2,0,10,10,STRONGSELL
0.6961,0.69702,0.69590,-0.00016,-0.00014,0.0005,-40.05,0,0,0,-10,WAIT
0.6911,0.69691,0.69590,-0.00012,0.00000,-0.001,-149.95,-0.1,-0.0005,-10,-20,BUY
0.68998,0.69645,0.69580,-0.00046,-0.00010,-0.004,10,0,0,-10,-20,BUY
0.69544,0.69592,0.69572,-0.00052,-0.00009,0.004,180,0.1,0,20,10,STRONGSELL
0.69406,0.69585,0.69572,-0.00008,0.00001,-0.0005,-40.05,0,0,-10,20,STRONGSELL
0.69135,0.69581,0.69573,-0.00004,0.00001,-0.001,-59.95,-0.1,0,0,10,WAIT
0.68801,0.69525,0.69562,-0.00056,-0.00011,-0.0015,-60,0,0,-10,-30,SELL
0.69004,0.69438,0.69540,-0.00086,-0.00022,-0.001,80,0,0,10,0,STRONGSELL
0.69043,0.69381,0.69513,-0.00057,-0.00026,0.0015,20,0,0,0,0,SELL
0.6858,0.69354,0.69491,-0.00027,-0.00022,0,-80,0,0,-10,0,BUY
0.68535,0.69272,0.69460,-0.00082,-0.00031,-0.00274,20,0,-0.0005,0,-10,STRONGBUY
0.68781,0.69197,0.69428,-0.00075,-0.00032,0.00174,60,0.1,0.0005,10,0,STRONGBUY
0.68696,0.69128,0.69401,-0.00069,-0.00027,0.0005,-20,0,0,0,10,STRONGBUY
0.68973,0.69067,0.69373,-0.00061,-0.00029,0.002,80,0,0.0005,0,30,STRONGBUY
